Filename,Time (s),Memory (KB)
splines.cpp,63.71,1201636
stl_iterators.cpp,15.02,450224
fastmath.cpp,3.23,164956
mapped_matrix.cpp,6.70,282472
nomalloc.cpp,115.66,1714768
qr.cpp,23.01,605700
array_of_string.cpp,2.95,148004
half_float.cpp,14.01,330120
inplace_decomposition.cpp,57.28,1140092
inplace_decomposition.cpp,44.99,953824
inplace_decomposition.cpp,18.51,531644
dense_storage.cpp,2.47,118088
rvalue_types.cpp,2.24,142216
vectorwiseop.cpp,46.37,967808
vectorwiseop.cpp,12.15,420568
vectorwiseop.cpp,9.98,407436
vectorwiseop.cpp,9.66,393328
prec_inverse_4x4.cpp,4.85,250324
sizeoverflow.cpp,2.56,140504
evaluators.cpp,68.40,1312736
dontalign.cpp,40.06,1024656
dontalign.cpp,44.76,1079332
zerosized.cpp,74.86,1404936
nestbyvalue.cpp,2.72,148572
umeyama.cpp,17.71,494776
umeyama.cpp,17.46,488352
umeyama.cpp,17.89,489064
sparseqr.cpp,24.00,637404
lscg.cpp,49.64,984632
bicgstab.cpp,40.78,867424
bicgstab.cpp,43.54,851180
incomplete_cholesky.cpp,67.50,1167644
incomplete_cholesky.cpp,63.49,1161720
sparselu.cpp,78.45,1218636
conjugate_gradient.cpp,56.24,1041564
simplicial_cholesky.cpp,71.96,1155496
simplicial_cholesky.cpp,73.36,1142300
sparselu.cpp,77.09,1249160
sparse_permutations.cpp,16.18,331252
sparse_ref.cpp,8.80,326932
incomplete_cholesky.cpp,63.76,1161736
sparse_ref.cpp,8.90,331428
sparse_product.cpp,25.50,579188
sparse_product.cpp,2.85,172560
sparse_product.cpp,78.37,1260612
sparse_vector.cpp,16.97,455500
sparse_block.cpp,31.68,718456
nesting_ops.cpp,11.33,375820
sparse_block.cpp,31.52,717384
sparse_block.cpp,30.24,716088
sparse_basic.cpp,3.24,173640
sparse_basic.cpp,49.80,738532
stddeque_overload.cpp,6.41,298424
stddeque_overload.cpp,8.81,322680
nesting_ops.cpp,5.14,301288
stddeque.cpp,5.56,268300
stddeque.cpp,4.62,208920
stdlist_overload.cpp,6.86,301540
conjugate_gradient.cpp,53.90,1087756
stdlist_overload.cpp,4.40,238456
stdlist.cpp,3.21,182396
stdlist.cpp,5.36,254980
stdlist.cpp,5.77,248336
stdlist.cpp,3.42,193912
stdvector_overload.cpp,4.04,224660
stdvector_overload.cpp,5.48,270376
stdvector_overload.cpp,6.93,312728
stdvector.cpp,6.37,285940
geo_homogeneous.cpp,31.04,747260
geo_transformations.cpp,10.61,425900
geo_transformations.cpp,51.42,1166128
stdvector.cpp,4.83,235504
geo_transformations.cpp,44.84,1037708
geo_transformations.cpp,31.97,810364
geo_hyperplane.cpp,22.70,609496
geo_hyperplane.cpp,27.91,723648
geo_alignedbox.cpp,3.18,190064
geo_alignedbox.cpp,4.53,261728
dontalign.cpp,48.03,1152576
geo_alignedbox.cpp,4.61,259660
geo_alignedbox.cpp,4.64,259408
geo_alignedbox.cpp,3.94,227868
geo_alignedbox.cpp,4.63,260124
geo_parametrizedline.cpp,15.69,491528
geo_parametrizedline.cpp,23.11,641880
dontalign.cpp,57.95,1174876
geo_eulerangles.cpp,4.25,243096
geo_orthomethods.cpp,5.06,283708
sparse_basic.cpp,50.87,790568
geo_orthomethods.cpp,10.48,438852
householder.cpp,33.29,783676
householder.cpp,28.68,709764
householder.cpp,39.49,845488
householder.cpp,27.12,698968
householder.cpp,54.31,1131992
householder.cpp,38.61,867556
bdcsvd.cpp,308.41,2819120
bdcsvd.cpp,200.62,2195472
bdcsvd.cpp,249.97,2732200
bdcsvd.cpp,109.88,1589204
bdcsvd.cpp,333.39,2917120
bdcsvd.cpp,281.20,2664268
jacobisvd.cpp,232.23,2416420
vectorwiseop.cpp,23.12,582884
jacobisvd.cpp,170.03,2005248
jacobisvd.cpp,104.34,1563996
stdlist.cpp,5.61,260348
jacobisvd.cpp,59.95,1109652
jacobisvd.cpp,146.40,1905972
geo_transformations.cpp,68.14,1317080
jacobi.cpp,4.85,255404
jacobi.cpp,4.26,213912
eigensolver_generalized_real.cpp,71.16,1215992
eigensolver_generalized_real.cpp,80.02,1415020
real_qz.cpp,28.03,731608
eigensolver_complex.cpp,40.86,938660
eigensolver_generic.cpp,2.35,183612
eigensolver_selfadjoint.cpp,2.36,173556
eigensolver_selfadjoint.cpp,67.01,1220260
eigensolver_selfadjoint.cpp,58.60,1148008
eigensolver_selfadjoint.cpp,74.54,1312908
eigensolver_selfadjoint.cpp,49.74,958792
geo_alignedbox.cpp,4.12,229336
eigensolver_selfadjoint.cpp,48.43,980252
jacobi.cpp,3.22,203864
eigensolver_selfadjoint.cpp,59.76,1192708
eigensolver_selfadjoint.cpp,171.95,2368132
eigensolver_selfadjoint.cpp,153.62,1995180
schur_complex.cpp,2.20,143316
schur_complex.cpp,25.86,643884
schur_complex.cpp,17.69,532132
schur_real.cpp,1.99,141760
schur_real.cpp,23.43,684156
schur_real.cpp,31.42,701780
